PATHWAY_URI	DATASOURCE	DISPLAY_NAME	ALL_NAMES	NUM_DIRECT_COMPONENT_OR_STEP_PROCESSES
http://identifiers.org/reactome/R-HSA-997269	Reactome	Inhibition of adenylate cyclase pathway	Inhibition of adenylate cyclase pathway;	2
http://identifiers.org/reactome/R-HSA-997272	Reactome	Inhibition of voltage gated Ca2+ channels via Gbeta/gamma subunits	Inhibition of voltage gated Ca2+ channels via Gbeta/gamma subunits;	3
http://pathwaycommons.org/pc2/Pathway_d427129c782431a2c28a5ce43003848b	SMPDB	Methylation	Methylation;	2
http://pathwaycommons.org/pc2/Pathway_371e644dc646165f9686df736b2cb153	INOH	(S)-2,3-Epoxy-squalene = Lanosterol ( Steroids metabolism ) 	(S)-2,3-Epoxy-squalene = Lanosterol ( Steroids metabolism ) ;	2
http://pathwaycommons.org/pc2/Pathway_069b1dbd38fd9f8b15b435d7d89a2168	INOH	AKT(PKB)-FOXO signaling ( Insulin receptor signaling (Mammal) ) 	AKT(PKB)-FOXO signaling ( Insulin receptor signaling (Mammal) ) ;	2
http://pathwaycommons.org/pc2/Pathway_067119bdab7ca0670b91ee69d6aa0f2f	HumanCyc	sucrose degradation V (mammalian)	sucrose degradation V (mammalian);	34
http://pathwaycommons.org/pc2/Pathway_ec3d6e54212c947138b97bcfb94e5a8b	INOH	L-Tetrahydro-folic acid + L-Serine = 5,10-Methylene-tetrahydro-folic acid + Glycine + H2O ( Folate metabolism ) 	L-Tetrahydro-folic acid + L-Serine = 5,10-Methylene-tetrahydro-folic acid + Glycine + H2O ( Folate metabolism ) ;	3
http://identifiers.org/reactome/R-HSA-6811558	Reactome	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;	22
http://identifiers.org/reactome/R-HSA-6811555	Reactome	PI5P Regulates TP53 Acetylation	PI5P Regulates TP53 Acetylation;	21
http://identifiers.org/reactome/R-HSA-6811436	Reactome	COPI-independent Golgi-to-ER retrograde traffic	COPI-independent Golgi-to-ER retrograde traffic;	19
http://identifiers.org/reactome/R-HSA-6811438	Reactome	Intra-Golgi traffic	Intra-Golgi traffic;	23
http://identifiers.org/reactome/R-HSA-6811434	Reactome	COPI-dependent Golgi-to-ER retrograde traffic	COPI-dependent Golgi-to-ER retrograde traffic;	25
http://identifiers.org/reactome/R-HSA-6811440	Reactome	Retrograde transport at the Trans-Golgi-Network	Retrograde transport at the Trans-Golgi-Network;	47
http://identifiers.org/reactome/R-HSA-6811442	Reactome	Intra-Golgi and retrograde Golgi-to-ER traffic	Intra-Golgi and retrograde Golgi-to-ER traffic;	6
http://pathwaycommons.org/pc2/Pathway_1acb96a7e1621e378037769d0717c390	HumanCyc	colanic acid building blocks biosynthesis	colanic acid building blocks biosynthesis;	50
http://pathwaycommons.org/pc2/Pathway_7fff32089832ddaad8971c3f08607bfd	HumanCyc	L-serine degradation	L-serine degradation;	8
http://pathwaycommons.org/pc2/Pathway_90c6ae650e1ee313761164607a20977c	INOH	Negative regulation of gene expression ( Insulin receptor signaling (C. elegans) ) 	Negative regulation of gene expression ( Insulin receptor signaling (C. elegans) ) ;	6
http://identifiers.org/reactome/R-HSA-1810476	Reactome	RIP-mediated NFkB activation via ZBP1	RIP-mediated NFkB activation via ZBP1;	13
http://pathwaycommons.org/pc2/Pathway_feca4fe0a9d4d75cb82dfcbb45603fa8	pid	Validated nuclear estrogen receptor beta network	"erb_genomic_pathway;""Validated nuclear estrogen receptor beta network"";"	12
http://pathwaycommons.org/pc2/Pathway_55920cb080ee5fdcc077f6a40ef2e733	INOH	NAD+ + D-Sorbitol = NADH + D-Fructose ( Fructose and Mannose metabolism ) 	NAD+ + D-Sorbitol = NADH + D-Fructose ( Fructose and Mannose metabolism ) ;	2
http://pathwaycommons.org/pc2/Pathway_c04b59687605942432bbf927bd3915a2	pid	Reelin signaling pathway	"reelinpathway;""Reelin signaling pathway"";"	46
http://pathwaycommons.org/pc2/Pathway_a8679ea66e66c7810bc08fb93ae89fb3	SMPDB	Phenindione inhibition of Vitamin K epoxide reductase complex subunit 1	Phenindione inhibition of Vitamin K epoxide reductase complex subunit 1;	2
http://pathwaycommons.org/pc2/Pathway_cbd0f0755ce68f5dd11b4b791aba6061	SMPDB	Heat shock protein HSP 90-alpha dissociates from Glucocorticoid receptor	Heat shock protein HSP 90-alpha dissociates from Glucocorticoid receptor;	2
http://pathwaycommons.org/pc2/Pathway_535af62a9dbecc705694a3a049bfeefe	INOH	NAD+ + (S)-3-Hydroxy-butanoyl-CoA = NADH + Acetoacetyl-CoA ( Tryptophan degradation ) 	NAD+ + (S)-3-Hydroxy-butanoyl-CoA = NADH + Acetoacetyl-CoA ( Tryptophan degradation ) ;	5
http://pathwaycommons.org/pc2/Pathway_6284c9242ef6746036b180f50003bab5	NetPath	TCR	TCR;	454
http://pathwaycommons.org/pc2/Pathway_31c0b9d7e71766bad35a0c96a33f003f	HumanCyc	D-glucuronate degradation I	"D-glucuronate degradation I;""glucuronate degradation"";""glucuronate/xylulose pathway"";""pentose pathway"";""glucuronic acid oxidation pathway"";"	12
http://identifiers.org/reactome/R-HSA-909733	Reactome	Interferon alpha/beta signaling	Interferon alpha/beta signaling;	38
http://pathwaycommons.org/pc2/Pathway_cae2ae2c3073df041555278ea2af825a	INOH	ATP + GMP = ADP + GDP ( Purine nucleotides and Nucleosides metabolism ) 	ATP + GMP = ADP + GDP ( Purine nucleotides and Nucleosides metabolism ) ;	2
http://pathwaycommons.org/pc2/Pathway_b748ee70f34d41021237ce83497ec596	HumanCyc	serine biosynthesis	serine biosynthesis;	16
http://pathwaycommons.org/pc2/Pathway_7ef98cefe6721a5df18a6b88fb500f07	pid	PAR1-mediated thrombin signaling events	"PAR1-mediated thrombin signaling events;""thrombin_par1_pathway"";"	90
http://identifiers.org/reactome/R-HSA-3359474	Reactome	Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC	Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC;	4
http://identifiers.org/reactome/R-HSA-3359473	Reactome	Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD	Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD;	2
http://identifiers.org/reactome/R-HSA-3359475	Reactome	Defective MMAA causes methylmalonic aciduria type cblA	Defective MMAA causes methylmalonic aciduria type cblA;	2
http://identifiers.org/reactome/R-HSA-3359471	Reactome	Defective MMAB causes methylmalonic aciduria type cblB	Defective MMAB causes methylmalonic aciduria type cblB;	2
http://identifiers.org/reactome/R-HSA-3359478	Reactome	Defective MUT causes methylmalonic aciduria mut type	Defective MUT causes methylmalonic aciduria mut type;	2
http://identifiers.org/reactome/R-HSA-3359485	Reactome	Defective CD320 causes methylmalonic aciduria	Defective CD320 causes methylmalonic aciduria;	2
http://identifiers.org/reactome/R-HSA-3359454	Reactome	Defective TCN2 causes hereditary megaloblastic anemia	Defective TCN2 causes hereditary megaloblastic anemia;	2
http://identifiers.org/reactome/R-HSA-3359458	Reactome	Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF	Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF;	2
http://identifiers.org/reactome/R-HSA-3359457	Reactome	Defective GIF causes intrinsic factor deficiency	Defective GIF causes intrinsic factor deficiency;	2
http://identifiers.org/reactome/R-HSA-3359463	Reactome	Defective CUBN causes hereditary megaloblastic anemia 1	Defective CUBN causes hereditary megaloblastic anemia 1;	2
http://identifiers.org/reactome/R-HSA-3359462	Reactome	Defective AMN causes hereditary megaloblastic anemia 1	Defective AMN causes hereditary megaloblastic anemia 1;	2
http://identifiers.org/reactome/R-HSA-3359467	Reactome	Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE;	2
http://identifiers.org/reactome/R-HSA-3359469	Reactome	Defective MTR causes methylmalonic aciduria and homocystinuria type cblG	Defective MTR causes methylmalonic aciduria and homocystinuria type cblG;	4
http://pathwaycommons.org/pc2/Pathway_fadc8cf109ba5de4b39f19f9e7254eea	pid	Androgen-mediated signaling	"androgen_pathway;""Androgen-mediated signaling"";"	2
http://identifiers.org/reactome/R-HSA-6814122	Reactome	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding;	23
http://pathwaycommons.org/pc2/Pathway_7b52e543f03102aeeb76a097cffa76f1	INOH	IL-23 signaling pathway(JAK2 TYK2 STAT3 STAT4) ( IL-23 signaling(JAK2 TYK2 STAT3 STAT4) ) 	IL-23 signaling pathway(JAK2 TYK2 STAT3 STAT4) ( IL-23 signaling(JAK2 TYK2 STAT3 STAT4) ) ;	18
http://pathwaycommons.org/pc2/Pathway_851afd0320696261fd8ed605d813a071	HumanCyc	glutathione redox reactions I	glutathione redox reactions I;	52
http://identifiers.org/reactome/R-HSA-844456	Reactome	The NLRP3 inflammasome	The NLRP3 inflammasome;	35
http://identifiers.org/reactome/R-HSA-844455	Reactome	The NLRP1 inflammasome	The NLRP1 inflammasome;	8
http://identifiers.org/reactome/R-HSA-844615	Reactome	The AIM2 inflammasome	The AIM2 inflammasome;	8
http://identifiers.org/reactome/R-HSA-844623	Reactome	The IPAF inflammasome	The IPAF inflammasome;	4
http://identifiers.org/reactome/R-HSA-6814848	Reactome	Glycerophospholipid catabolism	Glycerophospholipid catabolism;	15
http://pathwaycommons.org/pc2/Pathway_67a00869b6597e2e575e7bf1dc5d97d7	INOH	Negative regulation of (G alpha i GDP-GTP exchange signaling) ( GPCR signaling (pertussis toxin) ) 	Negative regulation of (G alpha i GDP-GTP exchange signaling) ( GPCR signaling (pertussis toxin) ) ;	3
http://identifiers.org/reactome/R-HSA-1538133	Reactome	G0 and Early G1	G0 and Early G1;	24
http://pathwaycommons.org/pc2/Pathway_eecd28f7cdf05580470ec36a85771c31	INOH	2-Oxo-glutaric acid + L-erythro-4-Hydroxy-glutamic acid = L-Glutamic acid + D-4-Hydroxy-2-oxo-glutaric acid ( Arginine and Proline metabolism ) 	2-Oxo-glutaric acid + L-erythro-4-Hydroxy-glutamic acid = L-Glutamic acid + D-4-Hydroxy-2-oxo-glutaric acid ( Arginine and Proline metabolism ) ;	3
http://pathwaycommons.org/pc2/Pathway_c399c40ef37860e120f996d53da78847	pid	Insulin-mediated glucose transport	"Insulin-mediated glucose transport;""insulin_glucose_pathway"";"	24
http://pathwaycommons.org/pc2/Pathway_88af25b76310c17d135a92322529c92d	NetPath	TSH	TSH;	95
http://identifiers.org/reactome/R-HSA-4717374	Reactome	Defective DPM1 causes DPM1-CDG (CDG-1e)	Defective DPM1 causes DPM1-CDG (CDG-1e);	2
http://pathwaycommons.org/pc2/Pathway_81636b1beed0789b84b97edfb00b8eae	NetPath	Leptin	Leptin;	166
http://pathwaycommons.org/pc2/Pathway_418d92c83160d0ddc7c878aa797c4e14	HumanCyc	noradrenaline and adrenaline degradation	"noradrenaline and adrenaline degradation;""norepinephrine and epinephrine degradation"";"	94
http://pathwaycommons.org/pc2/Pathway_761643275335fc6ab0df18467d376b28	SMPDB	DNA reaction	DNA reaction;	2
http://pathwaycommons.org/pc2/Pathway_96e59387689a7cbdbe31836a6fbcdb5c	HumanCyc	pyruvate fermentation to lactate	pyruvate fermentation to lactate;	20
http://pathwaycommons.org/pc2/Pathway_0f270d856c058a5960ed1f93afc3a0ee	INOH	AMP + Pyrophosphate = Adenine + D-5-Phospho-ribosyl 1-diphosphate ( Purine nucleotides and Nucleosides metabolism ) 	AMP + Pyrophosphate = Adenine + D-5-Phospho-ribosyl 1-diphosphate ( Purine nucleotides and Nucleosides metabolism ) ;	2
http://pathwaycommons.org/pc2/Pathway_0168c17f5abe89075384715a207edb00	INOH	3-Hydroxy-propanoyl-CoA = Propenoyl-CoA + H2O ( Propanoate metabolism ) 	3-Hydroxy-propanoyl-CoA = Propenoyl-CoA + H2O ( Propanoate metabolism ) ;	4
http://identifiers.org/reactome/R-HSA-2555396	Reactome	Mitotic Metaphase and Anaphase	Mitotic Metaphase and Anaphase;	4
http://identifiers.org/reactome/R-HSA-3295583	Reactome	TRP channels	TRP channels;	7
http://identifiers.org/reactome/R-HSA-4719360	Reactome	Defective DPM3 causes DPM3-CDG (CDG-1o)	Defective DPM3 causes DPM3-CDG (CDG-1o);	2
http://identifiers.org/reactome/R-HSA-4719377	Reactome	Defective DPM2 causes DPM2-CDG (CDG-1u)	Defective DPM2 causes DPM2-CDG (CDG-1u);	2
http://pathwaycommons.org/pc2/Pathway_264e7b8013e775f8b8fe266190129aad	INOH	2 Farnesyl diphosphate + NADPH => NADP+ + Squalene + 2 Pyrophosphate ( Steroids metabolism ) 	2 Farnesyl diphosphate + NADPH => NADP+ + Squalene + 2 Pyrophosphate ( Steroids metabolism ) ;	4
http://pathwaycommons.org/pc2/Pathway_006f930781c74acbe47e2379240c7c2b	INOH	IL-3 signaling pathway(JAK1 JAK2 STAT5) ( IL-3 signaling(JAK1 JAK2 STAT5) ) 	IL-3 signaling pathway(JAK1 JAK2 STAT5) ( IL-3 signaling(JAK1 JAK2 STAT5) ) ;	11
http://pathwaycommons.org/pc2/Pathway_a7804d555e87a5925168c97052923f6d	INOH	D-Glycerate 2-phosphate = D-Glycerate 3-phosphate ( Glycolysis and Gluconeogenesis ) 	D-Glycerate 2-phosphate = D-Glycerate 3-phosphate ( Glycolysis and Gluconeogenesis ) ;	4
http://identifiers.org/reactome/R-HSA-139915	Reactome	Activation of PUMA and translocation to mitochondria	Activation of PUMA and translocation to mitochondria;	10
http://identifiers.org/reactome/R-HSA-139910	Reactome	Activation of BMF and translocation to mitochondria	Activation of BMF and translocation to mitochondria;	5
http://identifiers.org/reactome/R-HSA-139943	Reactome	PLC-mediated hydrolysis of PIP2	PLC-mediated hydrolysis of PIP2;	4
http://identifiers.org/reactome/R-HSA-139853	Reactome	Elevation of cytosolic Ca2+ levels	Elevation of cytosolic Ca2+ levels;	12
http://identifiers.org/reactome/R-HSA-3296469	Reactome	Defects in cobalamin (B12) metabolism	Defects in cobalamin (B12) metabolism;	28
http://identifiers.org/reactome/R-HSA-3296482	Reactome	Defects in vitamin and cofactor metabolism	Defects in vitamin and cofactor metabolism;	4
http://identifiers.org/reactome/R-HSA-3296197	Reactome	Hydroxycarboxylic acid-binding receptors	Hydroxycarboxylic acid-binding receptors;	6
http://pathwaycommons.org/pc2/Pathway_0903b66a7859ac9168edc37330a8c77c	SMPDB	Excitatory Neurotransmission	Excitatory Neurotransmission;	2
http://pathwaycommons.org/pc2/Pathway_0b92a53e54f737b3b274f126b9217eb1	pid	AlphaE beta7 integrin cell surface interactions	"integrin7_pathway;""AlphaE beta7 integrin cell surface interactions"";"	1
http://identifiers.org/reactome/R-HSA-1474151	Reactome	Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation;	38
http://identifiers.org/reactome/R-HSA-1474165	Reactome	Reproduction	Reproduction;	2
http://identifiers.org/reactome/R-HSA-1474290	Reactome	Collagen formation	Collagen formation;	4
http://identifiers.org/reactome/R-HSA-1474228	Reactome	Degradation of the extracellular matrix	Degradation of the extracellular matrix;	99
http://identifiers.org/reactome/R-HSA-1474244	Reactome	Extracellular matrix organization	Extracellular matrix organization;	18
http://pathwaycommons.org/pc2/Pathway_226125f2f5afea534130fcb7821c51c8	INOH	(S)-3-Hydroxy-2-methyl-butanoyl-CoA = 2-Methylbut-2-enoyl-CoA + H2O ( Valine,Leucine and Isoleucine degradation ) 	(S)-3-Hydroxy-2-methyl-butanoyl-CoA = 2-Methylbut-2-enoyl-CoA + H2O ( Valine,Leucine and Isoleucine degradation ) ;	4
http://pathwaycommons.org/pc2/Pathway_51c42ee2ba179e9fd80a910a81158cef	INOH	IGF1 signaling pathway ( IGF1 signaling pathway ) 	IGF1 signaling pathway ( IGF1 signaling pathway ) ;	23
http://pathwaycommons.org/pc2/Pathway_1abbf29aa2592cc2b382d2332ced92b8	NetPath	TSLP	TSLP;	30
http://pathwaycommons.org/pc2/Pathway_d0f56ae6bd288b539b07ea928751e8f5	INOH	Gene expression by STAT ( JAK-STAT pathway and regulation pathway Diagram ) 	Gene expression by STAT ( JAK-STAT pathway and regulation pathway Diagram ) ;	3
http://pathwaycommons.org/pc2/Pathway_9cdcbd3beed0e7c3ef28087ea867e5dc	pid	Regulation of Ras family activation	"ras_pathway;""Regulation of Ras family activation"";"	113
http://pathwaycommons.org/pc2/Pathway_35aba771c1a47bbe81a444e4df3ecd76	HumanCyc	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	"THF salvage;""folic acid salvage"";""folate salvage"";""tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"";"	24
http://identifiers.org/reactome/R-HSA-1475029	Reactome	Reversible hydration of carbon dioxide	Reversible hydration of carbon dioxide;	14
http://identifiers.org/panther.pathway/P00001	PANTHER	Adrenaline and noradrenaline biosynthesis	Adrenaline and noradrenaline biosynthesis;	37
http://identifiers.org/panther.pathway/P00009	PANTHER	Axon guidance mediated by netrin	Axon guidance mediated by netrin;	34
http://identifiers.org/panther.pathway/P00008	PANTHER	Axon guidance mediated by Slit/Robo	Axon guidance mediated by Slit/Robo;	28
http://identifiers.org/panther.pathway/P00007	PANTHER	Axon guidance mediated by semaphorins	Axon guidance mediated by semaphorins;	20
http://identifiers.org/panther.pathway/P00006	PANTHER	Apoptosis signaling pathway	Apoptosis signaling pathway;	155
http://identifiers.org/panther.pathway/P00005	PANTHER	Angiogenesis	Angiogenesis;	168
http://identifiers.org/panther.pathway/P00004	PANTHER	Alzheimer disease-presenilin pathway	Alzheimer disease-presenilin pathway;	82
http://identifiers.org/panther.pathway/P00003	PANTHER	Alzheimer disease-amyloid secretase pathway	Alzheimer disease-amyloid secretase pathway;	45
http://identifiers.org/panther.pathway/P00002	PANTHER	Alpha adrenergic receptor signaling pathway	Alpha adrenergic receptor signaling pathway;	17
http://identifiers.org/panther.pathway/P00012	PANTHER	Cadherin signaling pathway	Cadherin signaling pathway;	31
http://identifiers.org/panther.pathway/P00011	PANTHER	Blood coagulation	Blood coagulation;	93
http://identifiers.org/panther.pathway/P00010	PANTHER	B cell activation	B cell activation;	74
http://identifiers.org/panther.pathway/P00019	PANTHER	untitled	untitled;	62
http://identifiers.org/panther.pathway/P00018	PANTHER	EGF receptor signaling pathway	EGF receptor signaling pathway;	48
